review_id,review_text,rating,review_length,helpful_votes,days_since_purchase,verified_purchase,sentiment
1,설명서와 다르게 작동해서 당황스러웠습니다. 음질이 기대했던 것보다 많이 별로였어요. 가격 대비 품질이 많이 아쉬워요. ...,,69,,,,negative
2,방수 기능이 있다고 했는데 물에 약한 것 같아요. 소리가 자꾸 끊겨서 음악 감상이 힘들어요.,2.0,51,11.0,346.0,True,negative
3,친구에게도 추천하고 싶은 이어폰이에요. 음질이 정말 선명하고 저음도 풍부해요.,4.0,43,6.0,160.0,True,positive
4,쓸 수는 있지만 추천까지는 아니에요. 그럭저럭 쓸만한 이어폰이에요. 디자인은 평범하지만 무난하게 쓰고 있어요.,,61,,,False,neutral
5,연결이 자꾸 끊겨서 스트레스를 받았어요. 친구에게는 추천하지 않을 것 같아요. ^^,1.0,46,6.0,297.0,True,negative
6,배송도 늦고 포장 상태도 엉망이었어요. 착용감이 불편해서 오래 끼기 힘들어요. ...,2.0,47,18.0,124.0,True,negative
7,노이즈캔슬링은 보통 수준인 것 같아요. 연결은 대체로 안정적인 편이에요. ㅎㅎ,3.0,43,2.0,48.0,True,neutral
8,방수 기능 덕분에 운동할 때도 안심돼요. ㅠㅠ,,25,,,,positive
9,방수 기능 덕분에 운동할 때도 안심돼요. ...,5.0,26,4.0,225.0,True,positive
10,가성비 최고의 이어폰이라고 생각해요.,5.0,20,34.0,74.0,True,positive
11,배송도 늦고 포장 상태도 엉망이었어요. ㅎㅎ,1.0,24,7.0,111.0,True,negative
12,그럭저럭 쓸만한 이어폰이에요. 리뷰를 참고해서 구매했는데 예상한 정도였어요. 통화 품질은 보통 수준이에요.,3.0,59,23.0,320.0,False,neutral
13,노이즈캔슬링이 거의 작동하지 않는 것 같아요. 가격 대비 품질이 많이 아쉬워요. 며칠 쓰지도 않았는데 한쪽이 고장났습니다.,1.0,68,7.0,207.0,True,negative
14,고음질 코덱을 지원해서 음악 감상이 즐거워요. ^^,5.0,28,16.0,265.0,True,neutral
15,선물용으로 구매했는데 반응이 아주 좋았어요. 가격 대비 성능이 훌륭한 이어폰이에요. ...,5.0,50,16.0,161.0,True,positive
16,가격 대비 품질이 많이 아쉬워요. 다시는 구매하고 싶지 않은 제품이에요.,1.0,40,2.0,260.0,True,negative
17,노이즈캔슬링은 보통 수준인 것 같아요. 연결은 대체로 안정적인 편이에요. ^^,3.0,43,24.0,180.0,True,neutral
18,가성비 최고의 이어폰이라고 생각해요. 이 가격에 이 정도 성능이면 훌륭하죠. ㅠㅠ,4.0,45,13.0,232.0,True,positive
19,배터리는 딱 하루 쓸 정도예요. 리뷰를 참고해서 구매했는데 예상한 정도였어요.,2.0,43,21.0,251.0,True,neutral
20,터치 조작이 너무 예민해서 오작동이 잦아요. 한쪽 이어폰 소리가 유독 작게 들려요. 방수 기능이 있다고 했는데 물에 약한 것 같아요.,,74,,,True,negative
21,생각보다 훨씬 만족스러운 구매였어요. !!,4.0,23,22.0,332.0,True,positive
22,소리가 자꾸 끊겨서 음악 감상이 힘들어요. 친구에게는 추천하지 않을 것 같아요.,2.0,44,2.0,357.0,True,negative
23,통화 음질도 선명해서 업무용으로도 좋아요. 터치 조작이 직관적이라 편리해요.,5.0,42,25.0,259.0,True,positive
24,재구매 의사 백프로입니다 강추해요. !!,4.0,22,7.0,274.0,False,positive
25,리뷰만 믿고 샀는데 후회가 됩니다. 사진과 실물 색상이 많이 달라서 실망했어요. AS 문의를 했는데 응답이 너무 느렸어요.,1.0,68,5.0,289.0,True,negative
26,배터리가 금방 닳아서 자주 충전해야 해요. 귀에서 자꾸 빠져서 운동할 때 쓰기 힘들어요. 연결이 자꾸 끊겨서 스트레스를 받았어요. ...,2.0,76,7.0,320.0,True,negative
27,그립감이 좋아서 귀에서 잘 빠지지 않아요. 가성비 최고의 이어폰이라고 생각해요. !!,4.0,47,12.0,136.0,True,positive
28,통화 음질도 선명해서 업무용으로도 좋아요. 무게가 가벼워서 착용감이 뛰어나요. 친구에게도 추천하고 싶은 이어폰이에요.,5.0,65,19.0,276.0,False,positive
29,한쪽 이어폰 소리가 유독 작게 들려요. 통화 음질이 먹먹하게 들려서 불편해요. ^^,2.0,46,19.0,262.0,True,negative
30,착용감은 나쁘지 않지만 특별하지도 않아요. 기대했던 만큼도 아니고 실망스럽지도 않아요.,3.0,48,7.0,201.0,False,neutral
31,연결이 끊기지 않고 아주 안정적이에요. 재구매 의사 백프로입니다 강추해요.,5.0,41,2.0,274.0,True,positive
32,AS 문의를 했는데 응답이 너무 느렸어요.,1.0,23,1.0,194.0,True,negative
33,돈이 아깝다는 생각이 계속 들었어요. 친구에게는 추천하지 않을 것 같아요. ㅠㅠ,2.0,44,2.0,138.0,True,negative
34,특별한 장점도 단점도 없는 것 같아요. 디자인은 평범하지만 무난하게 쓰고 있어요. 리뷰를 참고해서 구매했는데 예상한 정도였어요.,3.0,71,8.0,129.0,True,neutral
35,고음질 코덱을 지원해서 음악 감상이 즐거워요. 친구에게도 추천하고 싶은 이어폰이에요.,4.0,47,5.0,179.0,True,positive
36,디자인이 깔끔하고 케이스도 고급스러워요. 재구매 의사 백프로입니다 강추해요. ㅎㅎ,5.0,45,12.0,278.0,True,positive
37,연결이 끊기지 않고 아주 안정적이에요.,5.0,21,9.0,2504.0,True,positive
38,가격이 저렴한 만큼 딱 그 정도예요. 통화 품질은 보통 수준이에요. ^^,,40,,,,neutral
39,음질이 정말 선명하고 저음도 풍부해요. 기대 이상의 퀄리티에 놀랐습니다. 연결이 끊기지 않고 아주 안정적이에요.,5.0,62,10.0,115.0,True,positive
40,딱히 불만은 없지만 감동도 없어요.,2.0,19,5.0,128.0,True,neutral
41,리뷰만 믿고 샀는데 후회가 됩니다.,2.0,19,7.0,232.0,True,negative
42,리뷰를 참고해서 구매했는데 예상한 정도였어요. !!,3.0,28,,183.0,True,neutral
43,리뷰를 참고해서 구매했는데 예상한 정도였어요.,3.0,25,10.0,207.0,True,neutral
44,배송도 늦고 포장 상태도 엉망이었어요. ^^,1.0,24,1.0,246.0,False,negative
45,연결이 끊기지 않고 아주 안정적이에요. 가격 대비 성능이 훌륭한 이어폰이에요. 고음질 코덱을 지원해서 음악 감상이 즐거워요. ...,4.0,73,3.0,133.0,True,positive
46,통화 음질도 선명해서 업무용으로도 좋아요. 가성비 최고의 이어폰이라고 생각해요. 재구매 의사 백프로입니다 강추해요. ㅠㅠ,5.0,67,3.0,75.0,True,positive
47,노이즈캔슬링 성능이 기대 이상이에요. 생각보다 훨씬 만족스러운 구매였어요. ㅎㅎ,4.0,44,13.0,129.0,True,positive
48,터치 조작이 직관적이라 편리해요. 가격 대비 성능이 훌륭한 이어폰이에요.,5.0,40,,125.0,False,positive
49,소리가 자꾸 끊겨서 음악 감상이 힘들어요. 사진과 실물 색상이 많이 달라서 실망했어요. ㅎㅎ,2.0,51,14.0,38.0,True,negative
50,연결이 끊기지 않고 아주 안정적이에요. 기대 이상의 퀄리티에 놀랐습니다.,5.0,40,15.0,283.0,True,neutral
51,고음질 코덱을 지원해서 음악 감상이 즐거워요.,4.0,25,20.0,43.0,True,positive
52,그립감이 좋아서 귀에서 잘 빠지지 않아요. 디자인이 깔끔하고 케이스도 고급스러워요. !!,5.0,49,8.0,275.0,True,positive
53,가성비 최고의 이어폰이라고 생각해요. 앱 연동 기능도 세심하게 잘 만들어졌어요.,5.0,44,15.0,119.0,True,positive
54,페어링이 빠르고 간편해서 편리합니다. 통화 음질도 선명해서 업무용으로도 좋아요. ㅠㅠ,5.0,47,16.0,255.0,True,positive
55,특별한 장점도 단점도 없는 것 같아요. 그냥 저냥 무난하게 사용 중입니다. ...,3.0,45,4.0,242.0,True,neutral
56,가격만큼의 성능인 것 같아요. 통화 품질은 보통 수준이에요. ㅎㅎ,2.0,36,14.0,297.0,True,neutral
57,리뷰를 참고해서 구매했는데 예상한 정도였어요. 딱히 불만은 없지만 감동도 없어요. 착용감은 나쁘지 않지만 특별하지도 않아요.,3.0,69,,200.0,True,neutral
58,노이즈캔슬링 성능이 기대 이상이에요. !!,4.0,23,12.0,140.0,True,positive
59,앱 연동 기능도 세심하게 잘 만들어졌어요. ^^,4.0,26,6.0,120.0,True,positive
60,케이스 배터리도 넉넉해서 외출할 때 든든해요. 노이즈캔슬링 성능이 기대 이상이에요. 방수 기능 덕분에 운동할 때도 안심돼요. ㅎㅎ,5.0,72,12.0,19.0,True,positive
61,선물용으로 구매했는데 반응이 아주 좋았어요. 매일 사용하는데 만족도가 점점 높아지네요.,5.0,48,0.0,125.0,True,positive
62,착용감이 편안해서 오래 껴도 아프지 않아요. 방수 기능 덕분에 운동할 때도 안심돼요. 무게가 가벼워서 착용감이 뛰어나요. ^^,,70,,,,positive
63,선물용으로 구매했는데 반응이 아주 좋았어요. 친구에게도 추천하고 싶은 이어폰이에요. ㅎㅎ,5.0,49,2.0,202.0,True,positive
64,통화 품질은 보통 수준이에요. 디자인은 평범하지만 무난하게 쓰고 있어요.,3.0,40,2.0,72.0,True,neutral
65,이 가격에 이 정도 성능이면 훌륭하죠. 생각보다 훨씬 만족스러운 구매였어요. 기대 이상의 퀄리티에 놀랐습니다.,4.0,61,12.0,174.0,True,positive
66,고음질 코덱을 지원해서 음악 감상이 즐거워요. 배터리가 오래가서 하루 종일 써도 걱정 없어요. !!,5.0,55,12.0,314.0,True,positive
67,페어링이 빠르고 간편해서 편리합니다. ...,5.0,24,1.0,110.0,True,positive
68,재구매 의사 백프로입니다 강추해요. 연결이 끊기지 않고 아주 안정적이에요.,5.0,41,22.0,83.0,True,positive
69,AS 문의를 했는데 응답이 너무 느렸어요.,1.0,23,11.0,268.0,True,negative
70,리뷰만 믿고 샀는데 후회가 됩니다. 페어링이 자주 실패해서 짜증이 났어요.,,41,,,,negative
71,그냥 저냥 무난하게 사용 중입니다. !!,3.0,22,2.0,73.0,False,neutral
72,음질이 기대했던 것보다 많이 별로였어요. !!,2.0,25,4.0,10.0,True,negative
73,음질이 기대했던 것보다 많이 별로였어요. 착용감이 불편해서 오래 끼기 힘들어요. ^^,1.0,47,5.0,339.0,True,negative
74,노이즈캔슬링은 보통 수준인 것 같아요.,3.0,21,,34.0,True,neutral
75,통화 음질도 선명해서 업무용으로도 좋아요. 디자인이 깔끔하고 케이스도 고급스러워요. 친구에게도 추천하고 싶은 이어폰이에요.,5.0,68,2.0,60.0,True,positive
76,매일 사용하는데 만족도가 점점 높아지네요. 착용감이 편안해서 오래 껴도 아프지 않아요. 무게가 가벼워서 착용감이 뛰어나요. ㅠㅠ,5.0,71,13.0,227.0,True,positive
77,가격 대비 성능이 훌륭한 이어폰이에요. 연결이 끊기지 않고 아주 안정적이에요. 재구매 의사 백프로입니다 강추해요. ^^,5.0,66,18.0,52.0,True,positive
78,생각보다 훨씬 만족스러운 구매였어요. 음질이 정말 선명하고 저음도 풍부해요.,4.0,42,7.0,140.0,False,positive
79,터치 조작이 직관적이라 편리해요. 그립감이 좋아서 귀에서 잘 빠지지 않아요.,5.0,42,1.0,211.0,True,positive
80,음질은 그냥 무난한 편이에요. !!,4.0,19,23.0,124.0,True,neutral
81,통화 음질이 먹먹하게 들려서 불편해요. ㅠㅠ,,24,,,False,negative
82,필요한 기능만 있는 심플한 제품이에요. !!,3.0,24,,105.0,True,neutral
83,고음질 코덱을 지원해서 음악 감상이 즐거워요. 통화 음질도 선명해서 업무용으로도 좋아요.,,49,,,True,positive
