review_id,review_text,rating,review_length,helpful_votes,days_since_purchase,verified_purchase,sentiment
100001,기대 이상의 퀄리티에 놀랐습니다. 노이즈캔슬링 성능이 기대 이상이에요. ^^,5,42,10,222,True,positive
100002,사진과 실물 색상이 많이 달라서 실망했어요. 케이스 마감이 조잡하고 잘 깨질 것 같아요. ^^,1,52,4,214,True,negative
100003,터치 조작이 너무 예민해서 오작동이 잦아요. 가격 대비 품질이 많이 아쉬워요. 방수 기능이 있다고 했는데 물에 약한 것 같아요. ...,1,75,4,236,True,negative
100004,귀에서 자꾸 빠져서 운동할 때 쓰기 힘들어요. 다시는 구매하고 싶지 않은 제품이에요. ^^,1,50,12,327,True,negative
100005,며칠 쓰지도 않았는데 한쪽이 고장났습니다. ...,1,27,4,179,True,negative
100006,선물용으로 구매했는데 반응이 아주 좋았어요. 고음질 코덱을 지원해서 음악 감상이 즐거워요.,4,50,17,257,True,positive
100007,이 가격에 이 정도 성능이면 훌륭하죠. 그립감이 좋아서 귀에서 잘 빠지지 않아요.,5,45,13,13,True,positive
100008,앱 연동 기능도 세심하게 잘 만들어졌어요. 친구에게도 추천하고 싶은 이어폰이에요. 통화 음질도 선명해서 업무용으로도 좋아요. ㅎㅎ,4,72,6,53,True,positive
100009,재구매 의사 백프로입니다 강추해요. 선물용으로 구매했는데 반응이 아주 좋았어요. ㅎㅎ,4,47,7,328,True,positive
100010,설명서와 다르게 작동해서 당황스러웠습니다. 터치 조작이 너무 예민해서 오작동이 잦아요.,1,48,8,245,True,negative
100011,디자인은 평범하지만 무난하게 쓰고 있어요. 그럭저럭 쓸만한 이어폰이에요. ...,3,44,10,320,True,neutral
100012,디자인이 깔끔하고 케이스도 고급스러워요. 무게가 가벼워서 착용감이 뛰어나요. ...,5,46,13,10,True,positive
100013,가격 대비 품질이 많이 아쉬워요.,2,18,24,54,True,negative
100014,이 가격에 이 정도 성능이면 훌륭하죠. 연결이 끊기지 않고 아주 안정적이에요. 앱 연동 기능도 세심하게 잘 만들어졌어요. ...,5,71,26,213,True,positive
100015,연결이 자꾸 끊겨서 스트레스를 받았어요. 배송도 늦고 포장 상태도 엉망이었어요. 착용감이 불편해서 오래 끼기 힘들어요.,2,66,32,191,True,negative
100016,가성비 최고의 이어폰이라고 생각해요. 터치 조작이 직관적이라 편리해요. ㅠㅠ,5,42,15,263,True,positive
100017,케이스 마감이 조잡하고 잘 깨질 것 같아요. 연결이 자꾸 끊겨서 스트레스를 받았어요. ...,1,51,2,126,True,negative
100018,음질이 정말 선명하고 저음도 풍부해요.,5,21,27,269,True,positive
100019,가격 대비 성능이 훌륭한 이어폰이에요. 음질이 정말 선명하고 저음도 풍부해요. ...,4,47,8,99,False,positive
100020,배송도 늦고 포장 상태도 엉망이었어요. 터치 조작이 너무 예민해서 오작동이 잦아요.,2,46,6,341,True,negative
100021,가성비 최고의 이어폰이라고 생각해요. 선물용으로 구매했는데 반응이 아주 좋았어요. 그립감이 좋아서 귀에서 잘 빠지지 않아요. ^^,5,72,6,198,False,positive
100022,며칠 쓰지도 않았는데 한쪽이 고장났습니다. 한쪽 이어폰 소리가 유독 작게 들려요.,1,45,10,71,False,negative
100023,터치 조작이 직관적이라 편리해요. ^^,4,21,12,105,True,positive
100024,착용감은 나쁘지 않지만 특별하지도 않아요. 보통 수준이라 재구매는 고민 중이에요. 특별한 장점도 단점도 없는 것 같아요.,3,67,1,364,True,neutral
100025,페어링이 빠르고 간편해서 편리합니다. 가성비 최고의 이어폰이라고 생각해요.,5,41,18,80,False,positive
100026,터치 조작이 너무 예민해서 오작동이 잦아요.,2,24,18,29,True,negative
100027,그냥 저냥 무난하게 사용 중입니다. 보통 수준이라 재구매는 고민 중이에요.,3,41,12,72,True,neutral
100028,며칠 쓰지도 않았는데 한쪽이 고장났습니다. 착용감이 불편해서 오래 끼기 힘들어요. ㅠㅠ,1,48,18,292,True,negative
100029,선물용으로 구매했는데 반응이 아주 좋았어요. 재구매 의사 백프로입니다 강추해요. 배터리가 오래가서 하루 종일 써도 걱정 없어요.,4,71,16,176,True,positive
100030,돈이 아깝다는 생각이 계속 들었어요. 리뷰만 믿고 샀는데 후회가 됩니다.,2,40,34,99,True,negative
100031,노이즈캔슬링 성능이 기대 이상이에요. 케이스 배터리도 넉넉해서 외출할 때 든든해요. 착용감이 편안해서 오래 껴도 아프지 않아요. ^^,5,74,10,75,True,positive
100032,케이스 마감이 조잡하고 잘 깨질 것 같아요.,1,24,2,341,True,negative
100033,노이즈캔슬링이 거의 작동하지 않는 것 같아요.,2,25,9,355,True,negative
100034,필요한 기능만 있는 심플한 제품이에요. 배터리는 딱 하루 쓸 정도예요. ...,4,43,4,271,True,neutral
100035,노이즈캔슬링은 보통 수준인 것 같아요. 배터리는 딱 하루 쓸 정도예요. ...,3,43,2,282,True,neutral
100036,방수 기능 덕분에 운동할 때도 안심돼요. 그립감이 좋아서 귀에서 잘 빠지지 않아요. !!,5,49,13,88,True,positive
100037,착용감이 편안해서 오래 껴도 아프지 않아요. 노이즈캔슬링 성능이 기대 이상이에요. ...,5,49,22,322,True,positive
100038,케이스 배터리도 넉넉해서 외출할 때 든든해요. 재구매 의사 백프로입니다 강추해요.,5,45,11,145,True,positive
100039,착용감이 불편해서 오래 끼기 힘들어요. ㅠㅠ,1,24,2,122,False,negative
100040,무게가 가벼워서 착용감이 뛰어나요. 디자인이 깔끔하고 케이스도 고급스러워요.,5,42,16,155,False,neutral
100041,며칠 쓰지도 않았는데 한쪽이 고장났습니다. 사진과 실물 색상이 많이 달라서 실망했어요.,2,48,9,141,True,negative
100042,케이스 마감이 조잡하고 잘 깨질 것 같아요. 방수 기능이 있다고 했는데 물에 약한 것 같아요.,1,52,27,306,True,negative
100043,보통 수준이라 재구매는 고민 중이에요. 그럭저럭 쓸만한 이어폰이에요.,4,38,0,75,True,neutral
100044,그립감이 좋아서 귀에서 잘 빠지지 않아요. 노이즈캔슬링 성능이 기대 이상이에요.,4,44,800,129,True,positive
100045,가성비 최고의 이어폰이라고 생각해요. 고음질 코덱을 지원해서 음악 감상이 즐거워요. 친구에게도 추천하고 싶은 이어폰이에요. ...,5,72,26,362,False,neutral
100046,음질이 정말 선명하고 저음도 풍부해요. 친구에게도 추천하고 싶은 이어폰이에요. ㅎㅎ,4,46,0,12,True,positive
100047,며칠 쓰지도 않았는데 한쪽이 고장났습니다.,1,23,0,207,True,negative
100048,매일 사용하는데 만족도가 점점 높아지네요. 음질이 정말 선명하고 저음도 풍부해요. ^^,5,48,8,325,True,positive
100049,노이즈캔슬링 성능이 기대 이상이에요. ^^,5,23,26,317,True,positive
100050,고음질 코덱을 지원해서 음악 감상이 즐거워요. 케이스 배터리도 넉넉해서 외출할 때 든든해요.,5,51,9,107,True,positive
